28
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
x_1: [2, 3, 4, 5, 7, 8, 11, 12, 16, 17, 22, 23]
x_2: [1, 3, 4, 6, 7, 9, 11, 13, 16, 18, 22, 24]
x_3: [1, 2, 5, 6, 8, 9, 12, 13, 17, 18, 23, 24]
x_4: [1, 2, 5, 6, 7, 10, 11, 14, 16, 19, 22, 25]
x_5: [1, 3, 4, 6, 8, 10, 12, 14, 17, 19, 23, 25]
x_6: [2, 3, 4, 5, 9, 10, 13, 14, 18, 19, 24, 25]
x_7: [1, 2, 4, 8, 9, 10, 11, 15, 16, 20, 22, 26]
x_8: [1, 3, 5, 7, 9, 10, 12, 15, 17, 20, 23, 26]
x_9: [2, 3, 6, 7, 8, 10, 13, 15, 18, 20, 24, 26]
x_10: [4, 5, 6, 7, 8, 9, 14, 15, 19, 20, 25, 26]
x_11: [1, 2, 4, 7, 12, 13, 14, 15, 16, 21, 22, 27]
x_12: [1, 3, 5, 8, 11, 13, 14, 15, 17, 21, 23, 27]
x_13: [2, 3, 6, 9, 11, 12, 14, 15, 18, 21, 24, 27]
x_14: [4, 5, 6, 10, 11, 12, 13, 15, 19, 21, 25, 27]
x_15: [7, 8, 9, 10, 11, 12, 13, 14, 20, 21, 26, 27]
x_16: [1, 2, 4, 7, 11, 17, 18, 19, 20, 21, 22, 28]
x_17: [1, 3, 5, 8, 12, 16, 18, 19, 20, 21, 23, 28]
x_18: [2, 3, 6, 9, 13, 16, 17, 19, 20, 21, 24, 28]
x_19: [4, 5, 6, 10, 14, 16, 17, 18, 20, 21, 25, 28]
x_20: [7, 8, 9, 10, 15, 16, 17, 18, 19, 21, 26, 28]
x_21: [11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 27, 28]
x_22: [1, 2, 4, 7, 11, 16, 23, 24, 25, 26, 27, 28]
x_23: [1, 3, 5, 8, 12, 17, 22, 24, 25, 26, 27, 28]
x_24: [2, 3, 6, 9, 13, 18, 22, 23, 25, 26, 27, 28]
x_25: [4, 5, 6, 10, 14, 19, 22, 23, 24, 26, 27, 28]
x_26: [7, 8, 9, 10, 15, 20, 22, 23, 24, 25, 27, 28]
x_27: [11, 12, 13, 14, 15, 21, 22, 23, 24, 25, 26, 28]
x_28: [16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]
